"search-number","evaluation","evals-requested-so-far","power-plants*","initial-population*","birth-rate*","polluting-rate*","planting-rate*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","113","400","12","30","0.1","3","0","""-2078850306""","0","0","0","0","0"
"1","114","400","12","30","0.1","3","0","""1539977818""","30","30","30","0","30"
"1","115","400","12","30","0.1","3","0","""-1270250122""","0","0","0","0","0"
"1","116","400","12","30","0.1","3","0","""-1188741594""","0","0","0","0","0"
"1","117","400","12","30","0.1","3","0","""-1067014504""","0","0","0","0","0"
"1","118","400","12","30","0.1","3","0","""-861516958""","0","0","0","0","0"
"1","119","400","12","30","0.1","3","0","""1955799403""","0","0","0","0","0"
"1","120","400","12","30","0.1","3","0","""-1905839889""","0","0","0","0","0"
"1","121","400","0","30","0.1","3","0.02","""-1025600867""","-4","-4","-4","0","-4"
"1","122","400","0","30","0.1","3","0.02","""-41926419""","179","179","179","0","179"
"1","123","400","0","30","0.1","3","0.02","""1845581578""","90","90","90","0","90"
"1","124","400","0","30","0.1","3","0.02","""1199267280""","157","157","157","0","157"
"1","125","400","0","30","0.1","3","0.02","""784335020""","531","531","531","0","531"
"1","126","400","0","30","0.1","3","0.02","""-711061981""","874","874","874","0","874"
"1","127","400","0","30","0.1","3","0.02","""-1589240140""","-15","-15","-15","0","-15"
"1","128","400","0","30","0.1","3","0.02","""1744869173""","119","119","119","0","119"
"1","129","400","8","30","0.1","3","0","""706787851""","0","0","0","0","0"
"1","130","400","8","30","0.1","3","0","""1148416827""","0","0","0","0","0"
"1","131","400","8","30","0.1","3","0","""5412469""","0","0","0","0","0"
"1","132","400","8","30","0.1","3","0","""1651683810""","0","0","0","0","0"
"1","133","400","8","30","0.1","3","0","""-1433224689""","0","0","0","0","0"
"1","134","400","8","30","0.1","3","0","""-1741978575""","0","0","0","0","0"
"1","135","400","8","30","0.1","3","0","""975820557""","0","0","0","0","0"
"1","136","400","8","30","0.1","3","0","""-321632195""","0","0","0","0","0"
"1","137","400","0","30","0.1","3","0.01","""-1060659729""","620","620","620","0","620"
"1","138","400","0","30","0.1","3","0.01","""678262603""","321","321","321","0","321"
"1","139","400","0","30","0.1","3","0.01","""-1263282609""","184","184","184","0","184"
"1","140","400","0","30","0.1","3","0.01","""-1573062018""","724","724","724","0","724"
